사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
19-Aug,7호선,2724,사가정,376672,372099,97886,96997
19-Aug,7호선,2725,용마산,148661,136102,36170,39191
19-Aug,7호선,2726,중곡,240304,216802,62005,62124
19-Aug,7호선,2727,군자(능동),364707,274171,81070,69894
19-Aug,7호선,2728,어린이대공원(세종대),345659,335853,42122,41185
19-Aug,7호선,2729,건대입구,414769,446486,59764,55257
19-Aug,7호선,2730,뚝섬유원지,269034,256224,46188,46153
19-Aug,7호선,2731,청담,497699,569778,71761,69403
19-Aug,7호선,2732,강남구청,392169,445278,45660,46027
19-Aug,7호선,2733,학동,559648,616410,58263,54740
19-Aug,7호선,2734,논현,515904,571287,50531,50466
19-Aug,7호선,2735,반포,162640,158067,35402,33633
19-Aug,7호선,2736,고속터미널,569749,460124,84112,74976
19-Aug,7호선,2737,내방,336648,346885,67117,65990
19-Aug,7호선,2738,이수,424656,423334,81267,78634
19-Aug,7호선,2739,남성,275223,249357,74425,73472
19-Aug,7호선,2740,숭실대입구(살피재),326283,322371,61758,63164
19-Aug,7호선,2741,상도,276975,262624,60719,56681
19-Aug,7호선,2742,장승배기,250741,239936,77539,79040
19-Aug,7호선,2743,신대방삼거리,406114,379855,94727,95557
19-Aug,7호선,2744,보라매,237873,238274,44591,43788
19-Aug,7호선,2745,신풍,278251,259895,68766,69616
19-Aug,7호선,2746,대림(구로구청),278919,281616,37993,36463
19-Aug,7호선,2747,남구로,408196,434340,60733,61775
19-Aug,7호선,2748,가산디지털단지,1076056,1072839,75115,70630
19-Aug,7호선,2749,철산,599973,615300,103977,103626
19-Aug,7호선,2750,광명사거리,610516,589466,157289,159980
19-Aug,7호선,2751,천왕,237142,212794,52621,51489
19-Aug,7호선,2752,온수(성공회대입구),265089,252521,38849,38018
19-Aug,7호선,2753,까치울,195163,184994,27916,28075
19-Aug,7호선,2754,부천종합운동장,126153,103076,17644,16931
19-Aug,7호선,2755,춘의,235777,227465,31104,30028
19-Aug,7호선,2756,신중동,379407,376159,56967,55126
19-Aug,7호선,2757,부천시청,334629,335869,54118,52251
19-Aug,7호선,2758,상동,381097,397401,51310,51934
19-Aug,7호선,2759,삼산체육관,139808,125212,27569,26417
19-Aug,7호선,2760,굴포천,239024,251937,37246,37678
19-Aug,7호선,2761,부평구청,317807,254252,33397,30380
19-Aug,8호선,2811,암사,450619,388384,101314,99867
19-Aug,8호선,2812,천호(풍납토성),446138,525095,94272,87341
19-Aug,8호선,2813,강동구청,242227,245717,64352,64939
19-Aug,8호선,2814,몽촌토성(평화의문),133071,142831,31815,31090
19-Aug,8호선,2815,잠실(송파구청),410075,480442,79540,75687
19-Aug,8호선,2816,석촌,184406,218065,53302,56524
19-Aug,8호선,2817,송파,227290,212148,59494,57511
19-Aug,8호선,2818,가락시장,168289,194537,57946,59338
19-Aug,8호선,2819,문정,489170,508313,53449,52872
19-Aug,8호선,2820,장지,476205,459864,75133,71803
19-Aug,8호선,2821,복정,277147,226633,46729,42242
19-Aug,8호선,2822,산성,139723,133019,34184,36938
19-Aug,8호선,2823,남한산성입구(성남법원.검찰청),322853,281738,76393,72960
19-Aug,8호선,2824,단대오거리,246638,233166,67322,64492
19-Aug,8호선,2825,신흥,103360,112730,45644,48050
19-Aug,8호선,2826,수진,120858,107253,51893,50966
19-Aug,8호선,2827,모란,90517,72181,53441,39630
19-Aug,9호선,4101,개화,165279,108403,38172,30122
19-Aug,9호선,4102,김포공항,256712,360136,25151,29946
19-Aug,9호선,4103,공항시장,64347,71164,24779,26946
19-Aug,9호선,4104,신방화,168043,161090,43428,43533
19-Aug,9호선,4105,마곡나루,265477,268642,22656,22247
19-Aug,9호선,4106,양천향교,212980,216496,41473,41139
19-Aug,9호선,4107,가양,491247,472146,124483,121060
19-Aug,9호선,4108,증미,156081,158249,44170,44926
19-Aug,9호선,4109,등촌,226192,228557,82039,83069
19-Aug,9호선,4110,염창,438447,419174,66412,65633
19-Aug,9호선,4111,신목동,97712,86568,19653,18305
19-Aug,9호선,4112,선유도,178094,173631,24656,24194
19-Aug,9호선,4113,당산,508780,491333,68471,63824
19-Aug,9호선,4114,국회의사당,405585,405897,51830,45769
19-Aug,9호선,4115,여의도,603875,595838,44888,41744
19-Aug,9호선,4116,샛강,121630,127653,25204,25265
19-Aug,9호선,4117,노량진,778693,794600,90958,92167
19-Aug,9호선,4118,노들,108640,91947,33017,30465
19-Aug,9호선,4119,흑석(중앙대입구),206558,214769,55539,56815
19-Aug,9호선,4120,동작(현충원),46564,35503,13193,10861
19-Aug,9호선,4121,구반포,66511,70647,23357,24194
19-Aug,9호선,4122,신반포,72061,73561,21322,21219
19-Aug,9호선,4123,고속터미널,383520,627065,55244,66334
19-Aug,9호선,4124,사평,78834,75381,18110,18323
19-Aug,9호선,4125,신논현,973711,999961,56836,53968
19-Aug,공항철도 1호선,4201,서울역,401713,341141,37588,33264
19-Aug,공항철도 1호선,4202,공덕,65208,88129,7252,8351
19-Aug,공항철도 1호선,4203,홍대입구,380402,369510,18599,17527
19-Aug,공항철도 1호선,4204,디지털미디어시티,341449,305115,23141,21354
19-Aug,공항철도 1호선,4206,마곡나루,152981,136239,7628,7799
19-Aug,공항철도 1호선,4207,김포공항,346576,203687,24326,16811
19-Aug,공항철도 1호선,4208,계양,296515,272851,31644,31187
19-Aug,공항철도 1호선,4209,검암,225046,221077,19028,19148
19-Aug,공항철도 1호선,4210,청라국제도시,188999,178646,11386,11326
19-Aug,공항철도 1호선,4211,운서,201902,212462,25754,25396
19-Aug,공항철도 1호선,4212,공항화물청사,63494,71348,8088,7932
19-Aug,공항철도 1호선,4213,인천공항1터미널,537985,514175,51551,50539
19-Aug,공항철도 1호선,4215,인천공항2터미널,172441,144777,35958,32936
19-Aug,공항철도 1호선,4217,영종,68215,70663,17013,17524
19-Aug,9호선2~3단계,4126,언주,247832,245317,26521,25951
19-Aug,9호선2~3단계,4127,선정릉,225774,244347,24728,25264
19-Aug,9호선2~3단계,4128,삼성중앙,151947,155434,24298,24127
19-Aug,9호선2~3단계,4129,봉은사,512941,514746,53191,50730
19-Aug,9호선2~3단계,4130,종합운동장,125458,111856,18370,15745
19-Aug,9호선2~3단계,4131,삼전,138567,133571,31242,30423
19-Aug,9호선2~3단계,4132,석촌고분,119192,115917,31597,31145
19-Aug,9호선2~3단계,4133,석촌,177666,144737,29191,24647
19-Aug,9호선2~3단계,4134,송파나루,95121,101948,24288,24568
19-Aug,9호선2~3단계,4135,한성백제,54942,48041,12615,11499
19-Aug,9호선2~3단계,4136,올림픽공원(한국체대),225241,226128,17792,17178
19-Aug,9호선2~3단계,4137,둔촌오륜,22822,20726,6090,5843
19-Aug,9호선2~3단계,4138,중앙보훈병원,163907,145334,68267,68347
19-Aug,우이신설선,4701,북한산우이,57420,52023,39629,40049
19-Aug,우이신설선,4702,솔밭공원,44356,40565,28810,29741
19-Aug,우이신설선,4703,4.19민주묘지,50245,47766,32013,29384
19-Aug,우이신설선,4704,가오리,75720,69580,45866,47624
19-Aug,우이신설선,4705,화계,57884,50572,41748,42736
19-Aug,우이신설선,4706,삼양,33855,35033,26457,29661
19-Aug,우이신설선,4707,삼양사거리,37922,37923,36455,37313
19-Aug,우이신설선,4708,솔샘,128724,113762,35920,36909
19-Aug,우이신설선,4709,북한산보국문,131109,115763,40273,40420
19-Aug,우이신설선,4710,정릉,83786,71550,43997,40525
19-Aug,우이신설선,4711,성신여대입구(돈암),73983,90386,32653,30957
19-Aug,우이신설선,4712,보문,30564,31497,15800,16503
19-Aug,우이신설선,4713,신설동,35695,38276,21836,20294
